Time,Category,Message,
9/28/2025 9:06:41 PM,NinjaScript,Replikanto: Restoring follower account 'ELTDEN2509101612489' from tab '030F0B8E' status = Checked Ratio = 1 PreAllocation = 0 PctField = 0 Cross Order = False Use ATM = False Market Only = True,
9/28/2025 9:06:41 PM,NinjaScript,Replikanto: Restoring follower account 'ELTDEN2509121948116' from tab '030F0B8E' status = Checked Ratio = 1 PreAllocation = 0 PctField = 0 Cross Order = False Use ATM = False Market Only = True,
9/28/2025 9:06:41 PM,NinjaScript,Replikanto: Disarm followers is set from tab '030F0B8E' workspace '',
9/28/2025 9:06:40 PM,NinjaScript,Replikanto: Restoring leader account 'ELTDEN2509121948116' from tab '030F0B8E',
9/28/2025 9:06:40 PM,NinjaScript,Replikanto: Leader instrument was set at the tab '030F0B8E' workspace ''. Old:  new: NQ 12-25,
9/28/2025 9:06:40 PM,NinjaScript,Replikanto: Restoring leader instrument 'NQ 12-25' from tab '030F0B8E',
9/28/2025 9:06:40 PM,NinjaScript,Replikanto: Restoring Replikanto tab from '0379B3D6' to '030F0B8E'...,
9/28/2025 9:06:40 PM,NinjaScript,Replikanto: Server Atm Strategy added strategy update event,
9/28/2025 9:06:40 PM,NinjaScript,Replikanto: Creating Replikanto tab '0379B3D6'...,
9/28/2025 9:06:40 PM,NinjaScript,Replikanto: Cleaning up Replikanto tab '00657DE6'...,
9/28/2025 9:06:39 PM,NinjaScript,Replikanto: Server Atm Strategy added strategy update event,
9/28/2025 9:06:39 PM,NinjaScript,Replikanto: Creating Replikanto tab '00657DE6'...,
9/28/2025 9:06:38 PM,Default,Restoring workspace 'FSP'...,
9/28/2025 9:06:38 PM,NinjaScript,Replikanto: Api Key "...7BUdR",
9/28/2025 9:06:37 PM,Order,Order entry hot keys disabled,
9/28/2025 9:06:37 PM,Default,Auto close enabled=False,
9/28/2025 9:06:37 PM,Connection,Using IS (is-us-nt-005.ninjatrader.com/31658),
9/28/2025 9:06:37 PM,Default,Automated trading disabled,
9/28/2025 9:06:37 PM,Default,Vendor assembly 'Replikanto' version='1.6.0.3' loaded.,
9/28/2025 9:06:36 PM,Default,Global simulation mode disabled,
9/28/2025 9:06:18 PM,Default,Session Break (Version 8.1.1.1),
9/28/2025 9:05:13 PM,Connection,TakeProfit: Primary connection=Disconnected Price feed=Disconnected,
9/28/2025 9:05:12 PM,Connection,TakeProfit: Primary connection=Disconnecting Price feed=Disconnecting,
9/28/2025 9:05:12 PM,NinjaScript,Replikanto: Cleaning up Replikanto tab '030F0B8E'...,
9/28/2025 9:05:12 PM,Default,Workspace FSP not saved,
9/28/2025 7:16:17 PM,Default,There was a problem subscribing to market data for ES ##-##: 'Symbol is inaccessible',
9/28/2025 7:16:17 PM,Default,There was a problem subscribing to tick data for YM ##-##: 'Symbol is inaccessible',
9/28/2025 7:16:17 PM,Default,There was a problem subscribing to tick data for ES ##-##: 'Symbol is inaccessible',
9/28/2025 7:16:17 PM,Default,There was a problem subscribing to tick data for NQ ##-##: 'Symbol is inaccessible',
9/28/2025 7:16:17 PM,Default,There was a problem subscribing to market data for NQ ##-##: 'Symbol is inaccessible',
9/28/2025 7:16:17 PM,Default,There was a problem subscribing to market data for YM ##-##: 'Symbol is inaccessible',
9/28/2025 7:16:15 PM,Default,Unhandled exception: The calling thread cannot access this object because a different thread owns it.,
9/28/2025 7:16:15 PM,NinjaScript,Global MainThreadDispatcher UnhandledException: System.Windows.Threading.Dispatcher. Exception:    at System.Windows.Threading.Dispatcher.VerifyAccess(),
9/28/2025 7:16:02 PM,Default,Unhandled exception: Object reference not set to an instance of an object.,
9/28/2025 7:16:02 PM,Default,Unhandled exception: The calling thread cannot access this object because a different thread owns it.,
9/28/2025 7:16:02 PM,NinjaScript,Global MainThreadDispatcher UnhandledException: System.Windows.Threading.Dispatcher. Exception:    at System.Windows.Threading.Dispatcher.VerifyAccess(),
9/28/2025 7:15:33 PM,Default,There was a problem subscribing to market data for YM ##-##: 'Symbol is inaccessible',
9/28/2025 7:15:33 PM,Default,There was a problem subscribing to tick data for ES ##-##: 'Symbol is inaccessible',
9/28/2025 7:15:33 PM,Default,There was a problem subscribing to market data for ES ##-##: 'Symbol is inaccessible',
9/28/2025 7:15:33 PM,Default,There was a problem subscribing to tick data for NQ ##-##: 'Symbol is inaccessible',
9/28/2025 7:15:33 PM,Default,There was a problem subscribing to market data for NQ ##-##: 'Symbol is inaccessible',
9/28/2025 7:15:33 PM,Default,There was a problem subscribing to tick data for YM ##-##: 'Symbol is inaccessible',
9/28/2025 7:15:32 PM,Default,Unhandled exception: The calling thread cannot access this object because a different thread owns it.,
