#schema: NinjaDataExport/v1, delimiter=comma, headerRow=2, emptyFieldsAllowed=true, time=ISO8601, instrument=NQ, timeframe=Minute_5, tradingHours=CME US Index Futures ETH, vwap=tick, tz=Local
timestamp,instrument,period,open,high,low,close,volume,ema20,ema50,ema200,rsi14,atr14,vwap,vwap_upper1,vwap_upper2,vwap_upper3,vwap_lower1,vwap_lower2,vwap_lower3,session_date
2025-08-03T18:05:00.000,NQ,Minute_5,23087.5,23134.75,23078,23107.5,3104,23107.5,23107.5,23107.5,0,56.75,23107.83601804,23120.52710767,23095.14492841,23133.2181973,23082.45383878,23145.90928693,23069.76274915,2025-08-04
2025-08-03T18:10:00.000,NQ,Minute_5,23107.75,23113.5,23059.25,23076.5,1621,23104.54761905,23106.28431373,23107.19154229,0,55.5,23100.02777778,23116.77209769,23083.28345786,23133.51641761,23066.53913795,23150.26073753,23049.79481803,2025-08-04
2025-08-03T18:15:00.000,NQ,Minute_5,23076.5,23086.5,23062.5,23069.75,847,23101.23356009,23104.85159554,23106.81898963,0,45,23096.01197954,23114.2693667,23077.75459238,23132.52675386,23059.49720522,23150.78414102,23041.23981806,2025-08-04
2025-08-03T18:20:00.000,NQ,Minute_5,23070.5,23097.5,23064.5,23092.25,1108,23100.37798294,23104.35741532,23106.67402456,0,42,23094.24431138,23111.72854333,23076.76007943,23129.21277528,23059.27584748,23146.69700722,23041.79161553,2025-08-04
2025-08-03T18:25:00.000,NQ,Minute_5,23091.5,23097.5,23080.25,23089.25,642,23099.31817504,23103.76496766,23106.50065118,0,37.05,23093.97767004,23110.75142034,23077.20391973,23127.52517065,23060.43016943,23144.29892095,23043.65641912,2025-08-04
2025-08-03T18:30:00.000,NQ,Minute_5,23089.75,23099.75,23086.5,23099.75,327,23099.35930123,23103.60751795,23106.43348052,0,33.08333333,23093.95705321,23110.38084509,23077.53326132,23126.80463698,23061.10946944,23143.22842887,23044.68567755,2025-08-04
2025-08-03T18:35:00.000,NQ,Minute_5,23099.75,23112.5,23095.25,23111,626,23100.46793921,23103.89741921,23106.47891853,0,30.82142857,23094.88540786,23111.03875487,23078.73206084,23127.19210189,23062.57871382,23143.3454489,23046.42536681,2025-08-04
2025-08-03T18:40:00.000,NQ,Minute_5,23111.25,23131.75,23107.75,23131,698,23103.37575452,23104.96026551,23106.72290939,0,29.96875,23097.03981389,23114.31275738,23079.76687039,23131.58570088,23062.49392689,23148.85864438,23045.2209834,2025-08-04
2025-08-03T18:45:00.000,NQ,Minute_5,23130.25,23137.5,23122.25,23122.5,589,23105.19711123,23105.64809824,23106.87989536,0,28.33333333,23099.15043924,23117.82238863,23080.47848985,23136.49433801,23061.80654047,23155.1662874,23043.13459108,2025-08-04
2025-08-03T18:50:00.000,NQ,Minute_5,23122,23142.25,23121,23134,555,23107.9402435,23106.75993752,23107.14974715,0,27.625,23101.0338292,23120.83949898,23081.22815941,23140.64516877,23061.42248963,23160.45083855,23041.61681984,2025-08-04
2025-08-03T18:55:00.000,NQ,Minute_5,23134.75,23151,23134,23148.75,513,23111.82688697,23108.40660664,23107.56368001,0,26.65909091,23103.10362183,23124.51800857,23081.68923508,23145.93239532,23060.27484833,23167.34678207,23038.86046158,2025-08-04
2025-08-03T19:00:00.000,NQ,Minute_5,23149.75,23153.25,23141.25,23146.25,442,23115.10527869,23109.89066128,23107.94861852,0,25.4375,23104.88861543,23127.62966042,23082.14757043,23150.37070542,23059.40652543,23173.11175042,23036.66548043,2025-08-04
2025-08-03T19:05:00.000,NQ,Minute_5,23147,23147.5,23130.75,23133.25,679,23116.83334739,23110.80671378,23108.20037356,0,24.76923077,23106.71715173,23130.01009759,23083.42420587,23153.30304346,23060.13126001,23176.59598932,23036.83831415,2025-08-04
2025-08-03T19:10:00.000,NQ,Minute_5,23132.5,23136.5,23121.25,23136.5,599,23118.70636192,23111.81429363,23108.48196188,59.14826498,24.08928571,23107.86406883,23131.16586097,23084.56227668,23154.46765312,23061.26048454,23177.76944526,23037.95869239,2025-08-04
2025-08-03T19:15:00.000,NQ,Minute_5,23137.5,23137.5,23119.25,23131.25,501,23119.90099412,23112.5764782,23108.70850953,57.11105904,23.67219388,23108.71294063,23131.96209949,23085.46378177,23155.21125835,23062.21462291,23178.4604172,23038.96546405,2025-08-04
2025-08-03T19:20:00.000,NQ,Minute_5,23131.5,23158,23131.5,23155.75,667,23123.31518515,23114.26955748,23109.17658406,63.4394973,23.89203717,23110.63015979,23134.86040919,23086.39991038,23159.0906586,23062.16966098,23183.320908,23037.93941157,2025-08-04
2025-08-03T19:25:00.000,NQ,Minute_5,23155.5,23167,23152,23162,684,23126.99945323,23116.14133954,23109.70219019,64.86380735,23.25689166,23112.985495,23138.85385171,23087.1171383,23164.72220841,23061.24878159,23190.59056511,23035.38042489,2025-08-04
2025-08-03T19:30:00.000,NQ,Minute_5,23161,23169,23154,23159,485,23130.04712436,23117.82207132,23110.19271566,63.58335985,22.66711368,23114.60082045,23141.50743857,23087.69420234,23168.41405669,23060.78758422,23195.32067481,23033.8809661,2025-08-04
2025-08-03T19:35:00.000,NQ,Minute_5,23158.75,23159,23129.5,23133,1023,23130.32835061,23118.41728421,23110.41965381,53.69104421,23.15517699,23116.58612349,23143.73200896,23089.44023802,23170.87789442,23062.29435255,23198.02377989,23035.14846709,2025-08-04
2025-08-03T19:40:00.000,NQ,Minute_5,23132,23138.25,23126,23130.75,510,23130.36850769,23118.90092013,23110.62194581,52.9236855,22.37623578,23117.08508015,23143.94853497,23090.22162533,23170.81198979,23063.35817051,23197.6754446,23036.49471569,2025-08-04
2025-08-03T19:45:00.000,NQ,Minute_5,23129.75,23140.75,23121.75,23139.5,685,23131.23817363,23119.70872718,23110.90928964,55.58234327,22.13507608,23117.72827566,23144.24107969,23091.21547163,23170.75388372,23064.7026676,23197.26668775,23038.18986356,2025-08-04
2025-08-03T19:50:00.000,NQ,Minute_5,23138.5,23154,23128.5,23153,640,23133.31072852,23121.01426729,23111.32810267,59.39277105,22.37542779,23118.67165859,23145.17540653,23092.16791065,23171.67915447,23065.66416271,23198.18290241,23039.16041477,2025-08-04
